RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1398532
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1398532
International,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1398532
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1398532
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1126296
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1126296
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1126296
International,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1126296
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1126296
International,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1253126
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1253126
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1253126
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1253126
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1253126
International,2024,5243,2024 Term 1,Undergraduate,3256,Interior Architecture (Hons),66712,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,ADA Professional Placement,FADA6700,6700,WILC,691349
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,626444
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,626444
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,626444
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,626444
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,626444
International,2024,5246,2024 Term 2,Postgraduate,8404,Commerce,65271,1,COMM,UNSW Business School,COMM,UNSW Business School,Business for Social Impact,COMM5201,5201,WILC,1580157
International,2024,5249,2024 Term 3,Undergraduate,4822,Design,64631,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Professional Experience,ADAD3000,3000,WILC,1589350
International,2024,5249,2024 Term 3,Postgraduate,8404,Commerce,66709,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,COMM5022,5022,WILC,1628598
International,2024,5249,2024 Term 3,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM5044,5044,WILC,1628598
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1633108
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1633108
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1633108
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1633108
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1633108
Local,2024,5246,2024 Term 2,Undergraduate,4033,Social Work (Honours),65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,SOCW4017,4017,WILC,1640786
Local,2024,5249,2024 Term 3,Undergraduate,4033,Social Work (Honours),65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,SOCW4018,4018,WILC,1640786
Local,2024,5249,2024 Term 3,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,HESC4622,4622,WILC,1622805
Local,2024,5243,2024 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,HESC4611,4611,WILC,1622805
Local,2024,5246,2024 Term 2,Undergraduate,4822,Design,64631,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Professional Experience,ADAD3000,3000,WILC,1645920
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1640369
